iter	Passed	Remaining
456	834	991
457	836	989
458	837	987
459	838	984
460	840	982
461	841	979
462	843	978
463	845	977
464	847	974
465	848	971
466	849	969
467	850	966
468	852	964
469	854	963
470	856	961
471	857	959
472	858	956
473	859	954
474	861	951
475	863	950
476	865	949
477	867	946
478	868	944
479	869	941
480	870	939
481	871	936
482	873	935
483	875	933
484	877	931
485	878	929
486	879	926
487	880	924
488	882	921
489	884	920
490	885	918
491	887	916
492	888	914
493	890	911
494	891	909
495	893	907
496	894	905
497	896	903
498	897	901
499	898	898
500	900	896
501	901	893
502	902	891
503	905	890
504	907	889
505	908	886
506	909	884
507	910	881
508	911	879
509	914	878
510	915	876
511	917	874
512	918	871
513	919	869
514	920	866
515	921	864
516	922	862
517	924	860
518	926	858
519	927	855
520	928	853
521	929	851
522	930	848
523	931	846
524	934	845
525	935	843
526	937	841
527	938	839
528	940	836
529	941	834
530	942	832
531	944	830
532	946	829
533	948	827
534	949	825
535	950	823
536	951	820
537	952	818
538	955	817
539	957	815
540	958	813
541	959	810
542	960	808
543	961	806
544	963	804
545	965	802
546	967	801
547	968	799
548	969	796
549	970	794
550	971	792
551	973	789
552	975	788
553	977	787
554	979	785
555	980	783
556	981	780
557	983	778
558	985	777
559	987	775
560	988	773
561	990	771
562	991	769
563	992	767
564	993	764
565	995	763
566	997	761
567	999	759
568	1000	757
569	1001	755
570	1002	753
571	1003	750
572	1005	749
573	1007	747
574	1009	745
575	1010	743
576	1011	741
577	1012	739
578	1013	736
579	1015	735
580	1017	733
581	1018	731
582	1019	729
583	1020	727
584	1021	724
585	1022	722
586	1024	720
587	1026	719
588	1029	718
589	1030	716
590	1031	713
591	1032	711
592	1034	709
593	1037	708
594	1038	707
595	1040	705
596	1041	703
597	1042	700
598	1043	698
599	1044	696
600	1047	695
601	1048	693
602	1050	691
603	1051	689
604	1052	687
605	1053	684
606	1054	682
607	1056	681
608	1058	679
609	1059	677
610	1061	675
611	1062	673
612	1063	671
613	1064	669
614	1066	667
615	1068	666
616	1070	664
617	1071	662
618	1073	660
619	1074	658
620	1075	656
621	1077	654
622	1079	653
623	1081	651
624	1082	649
625	1083	647
626	1084	645
627	1085	643
628	1088	642
629	1090	640
630	1091	638
631	1092	636
632	1093	634
633	1094	632
634	1095	629
635	1098	628
636	1101	627
637	1103	625
638	1104	623
639	1105	621
640	1106	619
641	1110	619
642	1111	617
643	1113	615
644	1114	613
645	1115	611
646	1117	609
647	1120	608
648	1122	607
649	1124	605
650	1125	603
651	1126	601
652	1127	599
653	1129	597
654	1131	595
655	1133	594
656	1134	592
657	1135	590
658	1136	588
659	1138	586
660	1140	585
661	1142	583
662	1144	581
663	1145	579
664	1146	577
665	1149	576
666	1151	575
667	1153	573
668	1155	571
669	1156	569
670	1157	567
671	1161	567
672	1163	565
673	1164	563
674	1165	561
675	1166	559
676	1167	557
677	1171	556
678	1173	554
679	1174	552
680	1175	550
681	1177	548
682	1179	547
683	1181	545
684	1183	544
685	1184	542
686	1185	540
687	1187	538
688	1188	536
689	1191	535
690	1193	533
691	1194	531
692	1195	529
693	1196	527
694	1201	527
695	1203	525
696	1204	523
697	1205	521
698	1206	519
699	1208	518
700	1210	516
701	1213	515
702	1214	513
703	1215	511
704	1217	509
705	1219	507
706	1221	506
707	1223	504
708	1224	502
709	1225	500
710	1226	498
711	1228	496
712	1230	495
713	1232	493
714	1233	491
715	1234	489
716	1235	487
717	1236	485
718	1238	483
719	1240	482
720	1242	480
721	1243	478
722	1244	476
723	1246	475
724	1247	473
725	1248	471
726	1250	469
727	1252	468
728	1254	466
729	1255	464
730	1256	462
731	1257	460
732	1259	458
733	1261	457
734	1263	455
735	1265	453
736	1266	452
737	1267	450
738	1268	448
739	1271	446
740	1272	444
741	1274	443
742	1275	441
743	1277	439
744	1278	437
745	1280	436
746	1282	434
747	1283	432
748	1285	430
749	1286	428
750	1287	426
751	1288	424
752	1290	423
753	1293	422
754	1294	420
755	1295	418
756	1297	416
757	1298	414
758	1301	413
759	1303	411
760	1305	409
761	1306	408
762	1307	406
763	1308	404
764	1311	403
765	1314	401
766	1316	399
767	1317	398
768	1318	396
769	1320	394
770	1322	392
771	1324	391
772	1325	389
773	1326	387
774	1328	385
775	1329	383
776	1331	382
777	1333	380
778	1335	378
779	1336	376
780	1337	375
781	1338	373
782	1339	371
783	1342	369
784	1344	368
785	1345	366
786	1346	364
787	1347	362
788	1349	360
789	1350	358
790	1352	357
791	1354	355
792	1356	354
793	1357	352
794	1358	350
795	1359	348
796	1360	346
797	1363	345
798	1365	343
799	1366	341
800	1368	339
801	1369	338
802	1370	336
803	1372	334
804	1375	333
805	1376	331
806	1377	329
807	1379	327
808	1380	325
809	1382	324
810	1384	322
811	1386	320
812	1387	319
813	1388	317
814	1389	315
815	1390	313
816	1392	311
817	1395	310
818	1396	308
819	1398	306
820	1399	305
821	1400	303
822	1401	301
823	1403	299
824	1404	298
825	1406	296
826	1407	294
827	1409	292
828	1410	290
829	1411	289
830	1414	287
831	1417	286
832	1418	284
833	1419	282
834	1420	280
835	1421	278
836	1423	277
837	1425	275
838	1427	273
839	1428	272
840	1429	270
841	1430	268
842	1431	266
843	1432	264
844	1434	263
845	1437	261
846	1438	259
847	1439	257
848	1440	256
849	1441	254
850	1442	252
851	1445	251
852	1447	249
853	1448	247
854	1449	245
855	1451	244
856	1452	242
857	1453	240
858	1455	238
859	1457	237
860	1458	235
861	1459	233
862	1460	231
863	1462	230
864	1463	228
865	1466	226
866	1468	225
867	1469	223
868	1471	221
869	1472	219
870	1473	218
871	1475	216
872	1477	214
873	1479	213
874	1480	211
875	1481	209
876	1482	207
877	1483	206
878	1486	204
879	1488	202
880	1489	201
881	1490	199
882	1491	197
883	1492	195
884	1494	194
885	1496	192
886	1498	190
887	1499	189
888	1500	187
889	1502	185
890	1503	183
891	1504	182
892	1506	180
893	1508	178
894	1509	177
895	1511	175
896	1512	173
897	1513	171
898	1515	170
899	1517	168
900	1519	166
901	1520	165
902	1521	163
903	1522	161
904	1523	159
905	1525	158
906	1527	156
907	1529	154
908	1530	153
909	1531	151
910	1532	149
911	1533	147
912	1534	146
913	1536	144
914	1538	142
915	1540	141
916	1542	139
917	1543	137
918	1544	136
919	1545	134
920	1547	132
921	1549	131
922	1550	129
923	1551	127
924	1552	125
925	1554	124
926	1556	122
927	1559	120
928	1561	119
929	1563	117
930	1564	115
931	1568	114
932	1570	112
933	1571	111
934	1572	109
935	1574	107
936	1575	105
937	1580	104
938	1581	102
939	1583	101
940	1584	99
941	1586	97
942	1591	96
943	1593	94
944	1597	92
945	1599	91
946	1601	89
947	1603	87
948	1604	86
949	1606	84
950	1607	82
951	1608	81
952	1610	79
953	1611	77
954	1612	75
955	1614	74
956	1615	72
957	1616	70
958	1617	69
959	1619	67
960	1620	65
961	1621	64
962	1622	62
963	1623	60
964	1625	58
965	1626	57
966	1627	55
967	1629	53
968	1631	52
969	1632	50
970	1634	48
971	1635	47
972	1638	45
973	1640	43
974	1642	42
975	1643	40
976	1645	38
977	1649	37
978	1651	35
979	1654	33
980	1655	32
981	1659	30
982	1662	28
983	1663	27
984	1667	25
985	1669	23
986	1671	22
987	1672	20
988	1674	18
989	1677	16
990	1681	15
991	1683	13
992	1685	11
993	1687	10
994	1691	8
995	1692	6
996	1694	5
997	1697	3
998	1701	1
999	1704	0
